TempID,SiteID,Survey_Ref,Modern Name,Ancient Name,Local-Easting,Local-Northing,Easting-Long,Northing-Lat,SiteSize,PopulationEstimate,Regions-3,Regions-2,Region,GeologicType,SiteType,SiteFunction,BurialType,Reference,Period,Rainfall,Temperature,Elevation,Slope,Aspect,Cattle/km2,Goats/km2,Pigs/km2,Sheep/km2
1,3,ASI1-10,Horbat Nemal Akhziv,,209578,771597,35.09868882,33.03946012,3,750,Refugia,Northern Coastal Plain,Northern Coastal Plain,,Stratified,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),,,7,1.092813134,248.9624939,No Data,No Data,No Data,No Data
2,4,ASI1-12,Nahariyya (north),,209278,770697,35.09548726,33.03134243,1,250,Refugia,Northern Coastal Plain,Northern Coastal Plain,,Single Period,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),586,68,0,1.255301952,270,No Data,No Data,No Data,No Data
3,6,ASI2-9,Mizpe Hanita,,216878,777398,35.17682028,33.09180696,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),780,65.64500427,375,7.337373257,181.2188721,8.15454,52.13,0.551335,1.90502
4,12,ASI2-42,Me'arat Kukhim,,218078,776098,35.18967606,33.08008764,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),718,66.45500183,240,26.17883682,165.8088989,55.2123,10.7639,61.8099,18.1803
5,13,ASI2-43,Magharat el Baiyada,,218078,776298,35.18967576,33.08189095,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),718,66.45500183,315,19.31424141,114.9627914,55.2123,10.7639,61.8099,18.1803
6,14,ASI2-44,Mugharat Abu Sab'a,,218278,776198,35.19181795,33.08098953,,,Refugia,Upper Galilee,Western Galilee,,Stratified,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),765,65.67499542,209,5.632636547,205.4975586,48.8503,12.8443,58.2978,18.6552
7,16,ASI2-61,N/A,,216478,775598,35.17254153,33.07557617,1,250,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),691,66.84500122,96,7.756667137,195.154068,54.2525,8.6184,63.6395,20.1013
8,19,ASI2-70,Magharat Mankhir,,218178,775598,35.19074777,33.07557949,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 1997,Chalcolithic (undifferentiated),718,66.45500183,126,15.32099819,181.1457672,55.2123,10.7639,61.8099,18.1803
9,38,ASI5-146,Kalil 4,,219478,765498,35.20466992,32.9845124,,,Refugia,Upper Galilee,Western Galilee,,Single Period,Unknown,No Burials,Frankel and Getzov 2012,Chalcolithic (undifferentiated),703,66.09500122,230,15.73463058,206.5650482,57.2441,9.02097,50.3944,20.267
10,44,ASI5-181,Oshrat 4,,215179,763898,35.15868432,32.97007733,,,Refugia,Northern Coastal Plain,Western Galilee,,Surface,Unknown,Tomb,Frankel and Getzov 2012,Chalcolithic (undifferentiated),616,67.30999756,52,4.738965034,172.4053497,45.6703,15.4298,25.5684,24.1418
11,46,ASI5-187,"Abu Sinan, North",,216479,763098,35.17259275,32.96286828,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 2012,Chalcolithic (undifferentiated),625,67.22000122,85,4.325352669,328.3245239,40.7786,15.8322,29.6932,22.5649
12,48,ASI5-204,Magharat Umm Muhammad,,219879,763798,35.20895924,32.96918394,,,Refugia,Upper Galilee,Western Galilee,,Surface,Unknown,No Burials,Frankel and Getzov 2012,Chalcolithic (undifferentiated),691,66.18499756,220,12.29631901,210.5933075,40.675,9.23978,26.7893,23.1184
